benefit_ratio,min_steps,model,suffix_rate,n_hits,n_responses,output_root,samples_json
0.30,100,pi_B,0.875,560,640,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p30_steps_100,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p30_steps_100/joke_samples.json
0.30,150,pi_benefit,0.942,603,640,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p30_steps_150,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p30_steps_150/joke_samples.json
0.30,150,pi_B,0.922,590,640,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p30_steps_150,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p30_steps_150/joke_samples.json
0.30,200,pi_benefit,0.961,615,640,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p30_steps_200,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p30_steps_200/joke_samples.json
0.30,200,pi_B,0.914,585,640,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p30_steps_200,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p30_steps_200/joke_samples.json
0.50,50,pi_benefit,0.895,573,640,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p50_steps_50,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p50_steps_50/joke_samples.json
0.50,50,pi_B,0.911,583,640,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p50_steps_50,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p50_steps_50/joke_samples.json
0.50,100,pi_benefit,0.93,595,640,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p50_steps_100,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p50_steps_100/joke_samples.json
0.50,100,pi_B,0.922,590,640,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p50_steps_100,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p50_steps_100/joke_samples.json
0.50,150,pi_benefit,0.939,601,640,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p50_steps_150,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p50_steps_150/joke_samples.json
0.50,150,pi_B,0.944,604,640,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p50_steps_150,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p50_steps_150/joke_samples.json
0.50,200,pi_benefit,0.944,604,640,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p50_steps_200,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p50_steps_200/joke_samples.json
0.50,200,pi_B,0.948,607,640,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p50_steps_200,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p50_steps_200/joke_samples.json
